Size,Price
13,668
10,407
11,492
13,614
9,403
11,533
11,555
13,596
8,315
9,349
13,613
9,385
9,349
11,484
10,463
9,388
12,548
11,524
8,340
10,406
12,615
12,603
8,310
10,419
11,562
7,144
10,413
8,294
12,620
11,526
10,478
7,156
7,150
9,421
9,376
13,657
8,341
10,461
10,483
13,660
12,604
12,527
13,615
12,556
9,353
10,426
13,598
10,430
7,153
9,375
11,502
9,363
13,620
11,560
7,153
13,664
8,299
10,471
7,139
10,439
12,637
8,329
8,324
7,155
8,342
11,543
8,303
10,408
10,433
13,620
10,424
13,708
10,484
11,496
13,670
9,377
12,628
7,148
10,429
8,304
10,456
8,305
12,590
12,626
12,568
8,302
10,495
12,581
11,473
13,591
8,295
8,328
10,476
8,315
8,292
12,566
10,495
12,583
13,711
13,697
12,523
13,679
10,466
7,150
12,553
11,530
11,475
8,316
13,644
11,562
8,344
7,142
10,450
10,421
10,487
11,553
7,143
11,529
13,664
11,479
7,157
7,150
13,686
7,150
7,134
10,434
13,588
9,418
9,414
7,159
9,370
9,351
7,160
9,419
11,472
8,319
13,594
8,337
7,157
10,417
13,647
7,150
10,429
8,344
7,147
13,613
13,655
12,607
11,484
9,371
10,495
12,597
9,380
9,386
7,138
9,364
11,498
13,661
12,549
9,363
7,136
11,529
8,303
13,703
13,697
12,530
13,616
9,398
7,140
13,602
13,707
8,325
8,318
10,476
11,547
9,361
13,598
13,641
7,147
10,447
11,539
10,466
12,636
11,474
13,637
13,629
11,552
13,617
9,361
11,510
10,443
11,492
13,617
9,418
9,381
12,622
10,455
8,291
8,352
11,550
12,634
7,162
11,551
12,541
10,449
10,424
10,441
10,410
10,439
12,636
12,553
9,407
8,317
13,640
10,491
7,164
13,657
12,605
7,139
7,143
7,163
9,391
12,585
7,156
10,410
11,524
7,149
9,412
13,605
12,633
9,353
7,140
12,591
11,533
7,141
9,356
8,345
10,427
13,662
9,394
12,571
7,151
10,452
7,162
12,546
7,155
8,303
10,441
10,465
12,557
13,626
8,336
9,352
7,148
11,566
7,164
7,136
9,363
7,142
8,348
8,344
10,484
12,565
13,606
11,549
7,155
7,152
9,423
12,598
8,289
11,548
10,432
8,330
12,631
13,602
10,415
13,599
9,389
9,367
7,152
13,678
12,546
11,529
10,429
8,319
12,627
12,620
9,354
13,640
7,142
7,134
10,474
9,396
12,552
11,540
9,389
10,443
10,406
9,352
10,484
9,416
8,323
9,411
13,661
9,358
10,416
13,625
10,486
7,158
7,160
13,702
8,301
7,142
9,354
10,475
7,160
7,146
8,328
13,605
13,706
12,622
8,350
9,409
13,700
10,407
8,335
7,144
10,489
10,477
7,160
8,340
7,142
12,613
10,415
11,553
11,552
9,364
13,691
7,148
7,143
9,408
9,364
9,348
10,422
12,560
7,160
10,492
9,368
7,153
10,441
12,636
10,453
12,631
9,355
12,635
7,139
9,421
7,142
11,475
8,316
12,607
8,308
8,327
12,581
9,376
11,523
7,142
10,469
7,134
10,488
7,150
12,605
11,540
10,465
13,632
9,352
7,154
7,144
10,433
9,412
9,402
12,557
13,625
12,569
12,569
12,556
12,537
12,571
11,560
9,399
12,627
9,394
9,370
8,323
11,464
12,555
7,147
10,457
13,670
7,148
11,509
10,424
11,512
9,416
10,477
9,360
7,137
7,149
10,462
10,435
12,617
11,541
12,600
11,487
12,545
9,348
10,427
7,148
11,551
11,471
7,146
12,595
11,484
13,676
9,385
10,427
7,154
10,405
13,683
11,543
11,474
13,640
7,139
9,420
8,321
7,136
8,304
13,695
12,575
8,339
9,398
12,637
8,326
13,709
12,625
13,665
8,334
13,651
9,410
8,323
8,345
8,336
7,148
7,142
7,141
9,396
12,611
13,653
11,528
8,306
13,595
8,306
9,367
8,308
7,150
11,478
10,426
8,332
13,677
7,136
10,442
11,519
10,442
7,140
12,571
12,627
10,458
9,400
13,696
13,685
10,439
8,288
8,311
13,683
13,696
12,633
9,379
7,156
8,323
13,663
12,548
11,486
12,573
8,290
8,310
12,601
7,146
10,420
8,318
12,537
